date, pm25, pm10, o3, no2, so2, co,city,coordinates
2/2/2024,93,109,41,9,6,27,Greater Noida,"[28.557054,77.453663]"
2/3/2024,170,508,1,12,5,36,Greater Noida,"[28.557054,77.453663]"
2/4/2024,195,113, ,7,4,22,Greater Noida,"[28.557054,77.453663]"
2/5/2024,171,136,3,5,6,23,Greater Noida,"[28.557054,77.453663]"
2/6/2024,171,412,17,7,10,28,Greater Noida,"[28.557054,77.453663]"
2/7/2024,447,201,32,5,7,18,Greater Noida,"[28.557054,77.453663]"
2/8/2024,223,98,31,6,5,21,Greater Noida,"[28.557054,77.453663]"
2/9/2024,151,145,41,8,5,33,Greater Noida,"[28.557054,77.453663]"
2/10/2024,146,298,39,9,6,28,Greater Noida,"[28.557054,77.453663]"
2/11/2024,248, , , , , ,Greater Noida,"[28.557054,77.453663]"
1/2/2024,238,252,16,9,4,9,Greater Noida,"[28.557054,77.453663]"
1/3/2024,219,160,4,9,3,6,Greater Noida,"[28.557054,77.453663]"
1/4/2024,194,228,2,13,2,10,Greater Noida,"[28.557054,77.453663]"
1/5/2024,255,244,3,9,2,7,Greater Noida,"[28.557054,77.453663]"
1/6/2024,268,247,2,12,2,12,Greater Noida,"[28.557054,77.453663]"
1/7/2024,226,365,12,9,4,14,Greater Noida,"[28.557054,77.453663]"
1/8/2024,327,283,8,10,3,17,Greater Noida,"[28.557054,77.453663]"
1/9/2024,257,178,3,8,2,4,Greater Noida,"[28.557054,77.453663]"
1/10/2024,207,302,4,8,3, ,Greater Noida,"[28.557054,77.453663]"
1/11/2024,354,575,10,10,3, ,Greater Noida,"[28.557054,77.453663]"
1/12/2024,557,425,22,13,4,15,Greater Noida,"[28.557054,77.453663]"
1/13/2024,311,414,8,7,2,18,Greater Noida,"[28.557054,77.453663]"
1/14/2024,286,724, ,4,2,18,Greater Noida,"[28.557054,77.453663]"
1/15/2024,369,477,2,16,1,19,Greater Noida,"[28.557054,77.453663]"
1/16/2024,317,694,9,5,6,8,Greater Noida,"[28.557054,77.453663]"
1/17/2024,612,319,19,5,5,10,Greater Noida,"[28.557054,77.453663]"
1/18/2024,308,89,7,4,4,3,Greater Noida,"[28.557054,77.453663]"
1/19/2024,165,74,7,6,5,8,Greater Noida,"[28.557054,77.453663]"
1/20/2024,158,125,24,7,4,6,Greater Noida,"[28.557054,77.453663]"
1/21/2024,192,186,16,12,5,16,Greater Noida,"[28.557054,77.453663]"
1/22/2024,234,146,23,7,5,7,Greater Noida,"[28.557054,77.453663]"
1/23/2024,207,201,26,8,5,11,Greater Noida,"[28.557054,77.453663]"
1/24/2024,211,224,31,11,5,8,Greater Noida,"[28.557054,77.453663]"
1/25/2024,271,268,19,15,4,14,Greater Noida,"[28.557054,77.453663]"
1/26/2024,255,183,2,9,4,14,Greater Noida,"[28.557054,77.453663]"
1/27/2024,255,192,15,9,5,17,Greater Noida,"[28.557054,77.453663]"
1/28/2024,255,221,3,7,5,35,Greater Noida,"[28.557054,77.453663]"
1/29/2024,228,200,28,6,5,18,Greater Noida,"[28.557054,77.453663]"
1/30/2024,213,231,1,7,4,24,Greater Noida,"[28.557054,77.453663]"
1/31/2024,240,276,4,9,5,18,Greater Noida,"[28.557054,77.453663]"
