date, pm25, pm10, o3, no2, so2, co,city,coordinates
2/2/2024,150,95,9,9,1,7,DCNS-Delhi,"[28.612498,77.237388]"
2/3/2024,186,89,10,12,1,7,DCNS-Delhi,"[28.612498,77.237388]"
2/4/2024,163,121,7,11, ,10,DCNS-Delhi,"[28.612498,77.237388]"
2/5/2024,206,88,12,8, ,7,DCNS-Delhi,"[28.612498,77.237388]"
2/6/2024,172,82,17,10, ,8,DCNS-Delhi,"[28.612498,77.237388]"
2/7/2024,149,93,20,11,1,5,DCNS-Delhi,"[28.612498,77.237388]"
2/8/2024,153,83,21,9,1,6,DCNS-Delhi,"[28.612498,77.237388]"
2/9/2024,150,85,24,13,1,10,DCNS-Delhi,"[28.612498,77.237388]"
2/10/2024,148,164,32,17,2,15,DCNS-Delhi,"[28.612498,77.237388]"
2/11/2024,234,157,34,13,2,9,DCNS-Delhi,"[28.612498,77.237388]"
2/12/2024,262, , , , , ,DCNS-Delhi,"[28.612498,77.237388]"
1/2/2024,220,170,7,1,1,13,DCNS-Delhi,"[28.612498,77.237388]"
1/3/2024,237,154,4,1, ,16,DCNS-Delhi,"[28.612498,77.237388]"
1/4/2024,236,199, ,1, ,11,DCNS-Delhi,"[28.612498,77.237388]"
1/5/2024,277,178, ,1, ,12,DCNS-Delhi,"[28.612498,77.237388]"
1/6/2024,229,142,3,1,1,13,DCNS-Delhi,"[28.612498,77.237388]"
1/7/2024,222,160,5,1,2,10,DCNS-Delhi,"[28.612498,77.237388]"
1/8/2024,234,283,3, ,2,14,DCNS-Delhi,"[28.612498,77.237388]"
1/9/2024,289,146,2,1,1,9,DCNS-Delhi,"[28.612498,77.237388]"
1/10/2024,207,156,3,1,1,14,DCNS-Delhi,"[28.612498,77.237388]"
1/11/2024,225,190,7,1,1,16,DCNS-Delhi,"[28.612498,77.237388]"
1/12/2024,262,152,9,1,1,9,DCNS-Delhi,"[28.612498,77.237388]"
1/13/2024,248,381,7,9,2,19,DCNS-Delhi,"[28.612498,77.237388]"
1/14/2024,405,364, ,14,3,18,DCNS-Delhi,"[28.612498,77.237388]"
1/15/2024,322,150, ,12,2,9,DCNS-Delhi,"[28.612498,77.237388]"
1/16/2024,254,184, ,9,2,15,DCNS-Delhi,"[28.612498,77.237388]"
1/17/2024,297,155, ,9,2,9,DCNS-Delhi,"[28.612498,77.237388]"
1/18/2024,244,140, ,10,2,9,DCNS-Delhi,"[28.612498,77.237388]"
1/19/2024,219,152, ,9,2,5,DCNS-Delhi,"[28.612498,77.237388]"
1/20/2024,235,146, ,10,2,10,DCNS-Delhi,"[28.612498,77.237388]"
1/21/2024,230,160, ,9,1,9,DCNS-Delhi,"[28.612498,77.237388]"
1/22/2024,246,175, ,9,1,10,DCNS-Delhi,"[28.612498,77.237388]"
1/23/2024,246,239, ,12,1,10,DCNS-Delhi,"[28.612498,77.237388]"
1/24/2024,285,238, ,12,1,11,DCNS-Delhi,"[28.612498,77.237388]"
1/25/2024,310,206, ,14,1,13,DCNS-Delhi,"[28.612498,77.237388]"
1/26/2024,269,307, ,16,1,18,DCNS-Delhi,"[28.612498,77.237388]"
1/27/2024,391,168, ,12,1,11,DCNS-Delhi,"[28.612498,77.237388]"
1/28/2024,248,237, ,15,1,12,DCNS-Delhi,"[28.612498,77.237388]"
1/29/2024,304,186, ,13, ,13,DCNS-Delhi,"[28.612498,77.237388]"
1/30/2024,254,256, ,16,1,11,DCNS-Delhi,"[28.612498,77.237388]"
1/31/2024,343,196, ,12, ,10,DCNS-Delhi,"[28.612498,77.237388]"
2/1/2024,331,55,6,9,1,6,DCNS-Delhi,"[28.612498,77.237388]"
10/2/2023,144,90,34,11,2,6,DCNS-Delhi,"[28.612498,77.237388]"
10/3/2023,138,95,25,12,1,5,DCNS-Delhi,"[28.612498,77.237388]"
10/4/2023,143,106,24,12,2,6,DCNS-Delhi,"[28.612498,77.237388]"
10/5/2023,148,113,28,14,2,8,DCNS-Delhi,"[28.612498,77.237388]"
10/6/2023,159,118,28,15,2,10,DCNS-Delhi,"[28.612498,77.237388]"
10/7/2023,158,109,18,12,1,11,DCNS-Delhi,"[28.612498,77.237388]"
10/8/2023,148,93,12,11,1,12,DCNS-Delhi,"[28.612498,77.237388]"
10/9/2023,133,98,15,8,1,8,DCNS-Delhi,"[28.612498,77.237388]"
10/10/2023,99,112,10,16,2,6,DCNS-Delhi,"[28.612498,77.237388]"
10/11/2023,140,95,20,10,2,4,DCNS-Delhi,"[28.612498,77.237388]"
10/12/2023,147,120,27,14,2,6,DCNS-Delhi,"[28.612498,77.237388]"
10/13/2023,179,133,30,15,3,7,DCNS-Delhi,"[28.612498,77.237388]"
10/14/2023,166,126,20,15,2,10,DCNS-Delhi,"[28.612498,77.237388]"
10/15/2023,170,145,11,13,1,14,DCNS-Delhi,"[28.612498,77.237388]"
10/16/2023,183,72,11,4,2,4,DCNS-Delhi,"[28.612498,77.237388]"
10/17/2023,75,61,13,13,2,9,DCNS-Delhi,"[28.612498,77.237388]"
10/18/2023,112,69,17,9,1,5,DCNS-Delhi,"[28.612498,77.237388]"
10/19/2023,122,73,20,11,2,8,DCNS-Delhi,"[28.612498,77.237388]"
10/20/2023,119,97,26,13,2,8,DCNS-Delhi,"[28.612498,77.237388]"
10/21/2023,168,136,38,16,2,7,DCNS-Delhi,"[28.612498,77.237388]"
10/22/2023,206,169,32,17,3,5,DCNS-Delhi,"[28.612498,77.237388]"
10/23/2023,223,141,22,15,2,10,DCNS-Delhi,"[28.612498,77.237388]"
10/24/2023,209,110,24,14,1,8,DCNS-Delhi,"[28.612498,77.237388]"
10/25/2023,166,135,27,16,1,10,DCNS-Delhi,"[28.612498,77.237388]"
10/26/2023,197,123,29,16,1,8,DCNS-Delhi,"[28.612498,77.237388]"
10/27/2023,183,127,29,15,2,10,DCNS-Delhi,"[28.612498,77.237388]"
10/28/2023,190,135,38,24,3,14,DCNS-Delhi,"[28.612498,77.237388]"
10/29/2023,191,157,38,24,2,13,DCNS-Delhi,"[28.612498,77.237388]"
10/30/2023,213,181,35,24,2,13,DCNS-Delhi,"[28.612498,77.237388]"
10/31/2023,213,200,40,22,1,22,DCNS-Delhi,"[28.612498,77.237388]"
11/1/2023,250,212,35,20,1,16,DCNS-Delhi,"[28.612498,77.237388]"
11/2/2023,247,353,26,23,2,12,DCNS-Delhi,"[28.612498,77.237388]"
11/3/2023,346,395,18,25,1,15,DCNS-Delhi,"[28.612498,77.237388]"
11/4/2023,385,358,19,23,1,11,DCNS-Delhi,"[28.612498,77.237388]"
11/5/2023,374,278,22,22,2,18,DCNS-Delhi,"[28.612498,77.237388]"
11/6/2023,305,236,35,22,2,15,DCNS-Delhi,"[28.612498,77.237388]"
11/7/2023,304,253,29,27,1,20,DCNS-Delhi,"[28.612498,77.237388]"
11/8/2023,295,308, ,32,3,22,DCNS-Delhi,"[28.612498,77.237388]"
11/9/2023,335,328,9,28,2,18,DCNS-Delhi,"[28.612498,77.237388]"
11/10/2023,365,145,7,15,1,13,DCNS-Delhi,"[28.612498,77.237388]"
11/11/2023,214,93,10,12,1,8,DCNS-Delhi,"[28.612498,77.237388]"
11/12/2023,171,102,14,12,2,9,DCNS-Delhi,"[28.612498,77.237388]"
11/13/2023,187,332,18,14,3,11,DCNS-Delhi,"[28.612498,77.237388]"
11/14/2023,311,145,17,20,2,8,DCNS-Delhi,"[28.612498,77.237388]"
11/15/2023,240,215,20,18,2,10,DCNS-Delhi,"[28.612498,77.237388]"
11/16/2023,311,317,23,24,2,17,DCNS-Delhi,"[28.612498,77.237388]"
